Fashion Nova,2,fashionnova.com,,2,2,4,0.2,0,0,0,0,https://directory.goodonyou.eco/brand/fashion-nova ,United States
Fendi,4,fendi.com,LVMH,4,4,2,8,7.7,2.1,1.6,6.6,https://directory.goodonyou.eco/brand/fendi ,Italy
Fila,2,fila.com,,2,2,2,2,0.8,0.4,0.1,0,https://directory.goodonyou.eco/brand/fila,Republic of Korea
Fjällräven,2,fjallraven.com,Fenix Outdoor,6,4,6,7,6.2,2.6,2.4,0.9,https://directory.goodonyou.eco/brand/fjallraven,Sweeden
Foschini,2,"foschini.com, foschini.co.za",TFG,4,4,8,4.2,3.1,1.1,1.2,1.4,https://directory.goodonyou.eco/brand/foschini,South Africa
Fossil,2,fossil.com,Fossil Group Inc.,4,4,4,4.9,0,0.9,0.5,0.9,https://directory.goodonyou.eco/brand/fossil ,Australia
Free people,2,freepeople.com,Urban Outfitters,4,4,4,4,3.1,1.5,1.8,0,https://directory.goodonyou.eco/brand/free-people,United States
Fruit of the Loom,2,fruit.com,Fruit of The Loom,4,4,8,6.4,3.1,2.8,2.5,3.5,https://directory.goodonyou.eco/brand/fruit-of-the-loom,United States
Furla,3,furla.com,,2,2,0,3.6,1.5,0.9,0,0,https://directory.goodonyou.eco/brand/furla,Italy
G-Star RAW,4,g-star.com,,6,4,6,8.7,6.2,3,1.7,5.8,https://directory.goodonyou.eco/brand/g-star-raw ,Netherlands
Gap,2,gap.com,Gap Inc.,6,4,4,9.1,4.6,5.3,3.5,4.5,https://directory.goodonyou.eco/brand/gap ,United States
Gerry Weber,3,gerryweber.com,Gildan,4,4,4,1.6,1.5,0.9,0,0.1,https://directory.goodonyou.eco/brand/gerry-weber ,Germany
Gucci,4,gucci.com,Kering,8,6,4,8.9,8.5,4.5,6.6,3.1,https://directory.goodonyou.eco/brand/gucci,Italy
GUESS,2,guess.com,,4,4,4,5.4,2.3,0.6,0.7,0,https://directory.goodonyou.eco/brand/guess ,United States
H&M,2,hm.com,H&M Group,6,6,6,8.7,8.5,5.1,5.4,8.1,https://directory.goodonyou.eco/brand/h-and-m,Sweeden
Hanes,2,hanes.com,Hanesbrands Inc.,4,4,,6.4,7.7,2.3,3.3,3.9,https://directory.goodonyou.eco/brand/hanes ,United States
Helly Hansen,3,hellyhansen.com,Canadian Tire Corporation,6,4,6,4.6,1.5,2.1,1.8,6.5,https://directory.goodonyou.eco/brand/helly-hansen ,Norway
Hermès,4,hermes.com,,4,4,2,9.3,6.9,3,2.7,2.3,https://directory.goodonyou.eco/brand/hermes ,France
Hollister Co.,2,hollisterco.com,Abercrombie and Fitch,4,4,4,5.7,3.1,2.1,1.2,0.9,https://directory.goodonyou.eco/brand/hollister,United States
Hugo Boss,3,hugoboss.com,,4,4,4,7.7,8.5,3,1.9,2.4,https://directory.goodonyou.eco/brand/hugo-boss ,Germany
Intimissimi,3,intimissimi.com,Calzedonia Group,4,4,6,4.2,3.1,0,1.1,0,https://directory.goodonyou.eco/brand/intimissimi ,Italy
Jack & Jones,2,"jackjones.com, jack-jones.ca",Bestseller A/S,4,4,6,6.4,3.1,1.5,1.4,2.6,https://directory.goodonyou.eco/brand/jack-and-jones,Denmark
Jessica Simpson,2,jessicasimpson.com,Sequentional Brands Group,2,2,0,0,0,0,0,0,https://directory.goodonyou.eco/brand/jessica-simpson,United States
Jil Sander,4,jilsander.com,Onward Holdings,2,2,4,2.5,0,0.6,0.5,0,https://directory.goodonyou.eco/brand/jil-sander ,Italy
Jockey,2,jockey.com,,2,2,6,1.4,0,0.2,0,0,https://directory.goodonyou.eco/brand/jockey ,United Kingdom
John Lewis,3,johnlewis.com,,4,4,6,6.1,1.5,1.1,2.5,2.4,https://directory.goodonyou.eco/brand/john-lewis ,United Kingdom
JustFab,2,"justfab.com, justfab.ca",TechStyle Fashion Group,2,2,8,1.9,0,0.4,0,0,https://directory.goodonyou.eco/brand/justfabb,United Kingdom
K-Way,3,k-way.com,,2,2,4,2.4,1.5,0,0,0,https://directory.goodonyou.eco/brand/k-way ,Italy
Kate Spade,2,katespade.com,Tapestry Inc.,2,4,4,5.8,3.1,1.5,2,0.9,https://directory.goodonyou.eco/brand/kate-spade,United States
Kathmandu,2,kathmandu.com.au,,6,4,8,7.2,1.5,1.3,1.2,2.7,https://directory.goodonyou.eco/brand/kathmandu,Australia
Kiabi,1,kiabi.com,,4,4,4,3.9,3.8,1.9,1.8,1.6,https://directory.goodonyou.eco/brand/kiabi ,France
Kmart Australia,1,kmart.com.au,Wesfarmers,4,4,6,8.6,6.2,5.3,4.5,5.5,https://directory.goodonyou.eco/brand/kmart-australia ,Australia
La Redoute,2,laredoute.com,Galeries Lafayette Group,4,4,4,3.8,1.5,0.6,0.5,0.1,https://directory.goodonyou.eco/brand/la-redoute ,France
Lacoste,2,lacoste.com,Maus Frères,4,4,4,6,3.1,2.3,1.3,5.5,https://directory.goodonyou.eco/brand/lacoste,France
Lands' End,2,landsend.com,,2,2,4,5.8,3.1,1.7,0.5,0.1,https://directory.goodonyou.eco/brand/lands-end ,United States
Levi Strauss & Co,2,levi.com,,8,4,4,9.3,6.2,2.8,3.3,4.3,https://directory.goodonyou.eco/brand/levis ,United States
Lindex,1,lindex.com,Stockmann Group,4,4,6,7.3,3.1,2.3,3.1,8.2,https://directory.goodonyou.eco/brand/lindex,Sweeden
L.L. Bean,3,"llbean.com, llbean.ca",,4,2,4,2,0,0,0.1,1.9,https://directory.goodonyou.eco/brand/llbean ,United States
